VerticeArr,EdgeArr,TimeAdjMatrix,TimeAdjList,
100,1481,11152,12712,
100,1483,10882,11934,
100,1492,11734,12873,
100,1492,11232,11846,
100,1499,11322,13290,
100,1499,11259,11989,
100,1504,11225,13014,
100,1519,11247,12565,
100,1522,10720,11545,
100,1522,11178,11834,
100,1525,11088,12477,
100,1537,11124,12566,
100,1540,11312,12604,
100,1543,10852,12953,
100,1544,11339,13020,
100,1548,11383,13137,
100,1549,11293,12924,
100,1561,10922,12829,
100,1564,11076,12722,
100,1564,11055,12918,
100,1565,11320,12659,
100,1567,11387,12696,
100,1569,11027,12452,
100,1569,13461,15657,
100,1570,11165,12438,
100,1577,11206,12870,
100,1583,11306,12825,
100,1585,11202,12371,
100,1585,11360,12397,
100,1589,11476,13367,
100,1591,11078,12297,
100,1592,11119,12320,
100,1599,11236,13140,
100,1610,12244,14391,
100,1617,10808,12600,
100,1618,10950,12889,
100,1621,11593,13025,
100,1627,11446,13703,
100,1628,11204,12877,
100,1631,11936,13968,
100,1631,11558,13242,
100,1633,11424,12830,
100,1635,11344,13463,
100,1650,11001,13070,
100,1651,11363,13588,
100,1658,11160,13682,
100,1664,11235,13586,
100,1667,11104,13342,
100,1667,11065,13527,
100,1669,11542,13438,
100,1677,11263,13710,
100,1679,11480,13167,
100,1690,11069,13220,
100,1691,12092,14132,
100,1692,11081,13232,
100,1694,12131,14767,
100,1695,11092,13030,
100,1703,11348,13615,
100,1703,11306,13220,
100,1707,11289,13972,
100,1709,11154,13574,
100,1716,12446,14728,
100,1718,12484,15083,
100,1721,11395,13179,
100,1732,11126,12923,
100,1732,11494,13499,
100,1740,11197,12978,
100,1744,11252,14975,
100,1747,10981,13176,
100,1749,11285,13098,
100,1750,11865,17559,
100,1751,11564,15028,
100,1757,11440,13579,
100,1759,11567,13881,
100,1767,11311,14382,
100,1769,11608,14001,
100,1789,11268,14148,
100,1794,11359,14120,
100,1798,11349,14085,
100,1800,13060,17154,
100,1812,11142,14006,
100,1813,11413,14098,
100,1815,11377,13351,
100,1817,11511,14179,
100,1818,11439,13624,
100,1822,11289,13498,
100,1822,11340,13834,
100,1823,11116,13731,
100,1824,11194,13892,
100,1824,11374,14202,
100,1830,11240,14494,
100,1852,11568,14786,
100,1861,11915,15010,
100,1865,11242,13520,
100,1866,11637,14353,
100,1867,11339,14879,
100,1878,11444,14574,
100,1881,11305,14664,
100,1883,12024,14816,
100,1888,11341,14653,
100,1897,11651,15316,
100,1901,11774,15484,
100,1909,11352,14614,
100,1909,11160,14807,
100,1910,11221,13771,
100,1911,11232,13337,
100,1921,11271,13845,
100,1922,11200,14944,
100,1923,11466,14288,
100,1925,11298,14466,
100,1930,11320,15080,
100,1932,11214,14125,
100,1937,11835,14552,
100,1938,11209,13960,
100,1940,11256,14487,
100,1945,11491,14831,
100,1953,11540,14461,
100,1955,11506,14606,
100,1955,11503,14844,
100,1956,11408,15299,
100,1958,11403,14466,
100,1962,11353,14940,
100,1972,11324,15465,
100,1974,11476,15786,
100,1974,12028,15943,
100,1975,11391,15458,
100,1977,11277,15054,
100,1977,11478,14837,
100,1980,11528,15396,
100,1987,11258,14728,
100,1987,11691,14930,
100,1988,11683,14863,
100,1989,11242,14418,
100,2001,12054,16299,
100,2002,11842,15591,
100,2005,11652,15828,
100,2015,11378,16130,
100,2018,11586,15536,
100,2019,11663,15856,
100,2020,11603,15463,
100,2020,11307,14568,
100,2022,11415,15793,
100,2028,11787,16139,
100,2032,11441,15623,
100,2033,11306,15557,
100,2034,11261,15210,
100,2040,12195,16182,
100,2044,11430,14907,
100,2046,11771,15506,
100,2047,11575,15516,
100,2047,11552,15657,
100,2049,11740,14938,
100,2060,11876,15875,
100,2069,11755,15454,
100,2073,12048,16703,
100,2094,11904,19119,
100,2101,11824,16886,
100,2103,11802,16253,
100,2113,11706,15730,
100,2115,11728,15501,
